date,nav
2008-02-29,133.82
2008-03-31,131.97
2008-04-30,138.26
2008-05-30,140.35
2008-06-30,127.98
2008-07-31,126.83
2008-08-29,128.79
2008-09-30,115.99
2008-10-31,96.83
2008-11-28,90.09
2008-12-31,90.24
2009-01-30,82.83
2009-02-27,73.93
2009-03-31,79.52
2009-04-30,87.42
2009-05-29,92.53
2009-06-30,91.95
2009-07-31,98.81
2009-08-31,102.46
2009-09-30,105.59
2009-10-30,103.56
2009-11-30,109.94
2009-12-31,111.44
2010-01-29,107.39
2010-02-26,110.74
2010-03-31,117.00
2010-04-30,118.81
2010-05-28,109.37
2010-06-30,103.22
2010-07-30,110.27
2010-08-31,105.31
2010-09-30,114.13
2010-10-29,118.49
2010-11-30,118.49
2010-12-31,125.75
2011-01-31,128.68
2011-02-28,133.15
2011-03-31,132.59
2011-04-29,136.43
2011-05-31,134.90
2011-06-30,131.97
2011-07-29,129.33
2011-08-31,122.22
2011-09-30,113.15
2011-10-31,125.50
2011-11-30,124.99
2011-12-30,125.50
2012-01-31,131.32
2012-02-29,137.02
2012-03-30,140.81
2012-04-30,139.87
2012-05-31,131.47
2012-06-29,136.10
2012-07-31,137.71
2012-08-31,141.16
2012-09-28,143.97
2012-10-31,141.35
2012-11-30,142.15
2012-12-31,142.41
2013-01-31,149.70
2013-02-28,151.61
2013-03-28,156.67
2013-04-30,159.68
2013-05-31,163.45
2013-06-28,160.42
2013-07-31,168.71
2013-08-30,163.65
2013-09-30,168.01
2013-10-31,175.79
2013-11-29,181.00
2013-12-31,184.69
2014-01-31,178.18
2014-02-28,186.29
2014-03-31,187.01
2014-04-30,188.31
2014-05-30,192.68
2014-06-30,195.72
2014-07-31,193.09
2014-08-29,200.71
2014-09-30,197.02
2014-10-31,201.66
2014-11-28,207.20
2014-12-31,205.54
2015-01-30,199.45
2015-02-27,210.66
2015-03-31,206.43
2015-04-30,208.46
2015-05-29,211.14
2015-06-30,205.85
2015-07-31,210.50
2015-08-31,197.67
2015-09-30,191.63
2015-10-30,207.93
2015-11-30,208.69
2015-12-31,203.87
2016-01-29,193.72
2016-02-29,193.56
2016-03-31,205.52
2016-04-29,206.33
2016-05-31,209.84
2016-06-30,209.48
2016-07-29,217.12
2016-08-31,217.38
2016-09-30,216.30
2016-10-31,212.55
2016-11-30,220.38
2016-12-30,223.53
2017-01-31,227.53
2017-02-28,236.47
2017-03-31,235.74
2017-04-28,238.08
2017-05-31,241.44
2017-06-30,241.80
2017-07-31,246.77
2017-08-31,247.49
2017-09-29,251.23
2017-10-31,257.15
2017-11-30,265.01
2017-12-29,266.86
2018-01-31,281.90
2018-02-28,271.65
2018-03-29,263.15
2018-04-30,264.51
2018-05-31,270.94
2018-06-29,271.28
2018-07-31,281.33
2018-08-31,290.31
2018-09-28,290.72
2018-10-31,270.63
2018-11-30,275.65
2018-12-31,249.92
2019-01-31,269.93
2019-02-28,278.68
2019-03-29,282.48
2019-04-30,294.02
2019-05-31,275.27
2019-06-28,293.00
2019-07-31,297.43
2019-08-30,292.45
2019-09-30,296.77
2019-10-31,303.33
2019-11-29,314.31
2019-12-31,321.86
2020-01-31,321.73
2020-02-28,296.26
2020-03-31,257.75
2020-04-30,290.48
2020-05-29,304.32
2020-06-30,308.36
2020-07-31,326.52
2020-08-31,349.31
2020-09-30,334.89
2020-10-30,326.54
2020-11-30,362.06
2020-12-31,373.88
2021-01-29,370.07
2021-02-26,380.36
2021-03-31,396.33
2021-04-30,417.30
2021-05-28,420.04
2021-06-30,428.06
2021-07-30,438.51
2021-08-31,451.56
2021-09-30,429.14
2021-10-29,459.25
2021-11-30,455.56
2021-12-31,474.96
2022-01-31,449.91
2022-02-28,436.63
2022-03-31,451.64
2022-04-29,412.00
2022-05-31,412.93
2022-06-30,377.25
2022-07-29,411.99
2022-08-31,395.18
2022-09-30,357.18
2022-10-31,386.21
2022-11-30,407.68
2022-12-30,382.43
2023-01-31,406.48
2023-02-28,396.26
2023-03-31,409.39
2023-04-28,415.93
2023-05-31,417.85
2023-06-30,443.28
2023-07-31,457.79
2023-08-31,450.35
2023-09-29,427.48
2023-10-31,418.20
2023-11-30,456.40
2023-12-29,475.31
2024-01-31,482.88
2024-02-29,508.08
2024-03-28,523.07
2024-04-30,501.98
2024-05-31,527.37
2024-06-28,544.22
2024-07-31,550.81
2024-08-30,563.68
2024-09-30,573.76
2024-10-31,568.64
2024-11-29,602.55
2024-12-31,586.08
2025-01-31,601.82
2025-02-28,594.18
2025-03-31,559.39
2025-04-30,554.54
2025-05-30,589.39
2025-06-30,617.85
2025-07-31,632.08
2025-08-29,645.05
2025-09-30,666.18
2025-10-31,682.06
2025-11-28,683.39
2025-12-31,681.92
2026-01-30,691.97
2026-02-27,685.99
2026-03-31,650.34
2026-04-30,718.66
2026-05-29,756.48
2026-06-18,746.74
